Date,United States(USD)
31-01-1979,233.7
28-02-1979,251.3
30-03-1979,240.1
30-04-1979,245.3
31-05-1979,274.6
29-06-1979,277.5
31-07-1979,296.5
31-08-1979,315.1
28-09-1979,397.3
31-10-1979,382
30-11-1979,415.7
31-12-1979,512
31-01-1980,653
29-02-1980,637
31-03-1980,494.5
30-04-1980,518
30-05-1980,535.5
30-06-1980,653.5
31-07-1980,614.3
29-08-1980,631.3
30-09-1980,666.8
31-10-1980,629
28-11-1980,619.8
31-12-1980,589.8
30-01-1981,506.5
27-02-1981,489
31-03-1981,513.8
30-04-1981,482.8
29-05-1981,479.3
30-06-1981,426
31-07-1981,406
31-08-1981,425
30-09-1981,428.8
30-10-1981,427
30-11-1981,414.5
31-12-1981,397.5
29-01-1982,387
26-02-1982,362.6
31-03-1982,320
30-04-1982,361.3
31-05-1982,325.3
30-06-1982,317.5
30-07-1982,342.9
31-08-1982,411.5
30-09-1982,397
29-10-1982,423.3
30-11-1982,436
31-12-1982,456.9
31-01-1983,499.5
28-02-1983,408.5
31-03-1983,414.8
29-04-1983,429.3
31-05-1983,437.5
30-06-1983,416
29-07-1983,422
31-08-1983,414.3
30-09-1983,405
31-10-1983,382
30-11-1983,405
30-12-1983,382.4
31-01-1984,373.8
29-02-1984,394.3
30-03-1984,388.5
30-04-1984,375.8
31-05-1984,384.3
29-06-1984,373.1
31-07-1984,342.4
31-08-1984,348.3
28-09-1984,343.8
31-10-1984,333.5
30-11-1984,329
31-12-1984,308.3
31-01-1985,306.7
28-02-1985,287.8
29-03-1985,329.3
30-04-1985,321.4
31-05-1985,314
28-06-1985,317.8
31-07-1985,327.5
30-08-1985,333.3
30-09-1985,325.8
31-10-1985,325.1
29-11-1985,325.3
31-12-1985,326.8
31-01-1986,350.5
28-02-1986,338.2
31-03-1986,344
30-04-1986,345.8
30-05-1986,343.2
30-06-1986,346.8
31-07-1986,357.5
29-08-1986,384.7
30-09-1986,423.2
31-10-1986,401
28-11-1986,389.5
31-12-1986,388.8
30-01-1987,400.5
27-02-1987,405.9
31-03-1987,421
30-04-1987,453.3
29-05-1987,451
30-06-1987,447.3
31-07-1987,462.5
31-08-1987,453.4
30-09-1987,459.5
30-10-1987,468.8
30-11-1987,492.5
31-12-1987,484.1
29-01-1988,458
29-02-1988,426.2
31-03-1988,457
29-04-1988,449
31-05-1988,455.5
30-06-1988,436.6
29-07-1988,436.8
31-08-1988,427.8
30-09-1988,396.7
31-10-1988,412.4
30-11-1988,422.6
30-12-1988,410.3
31-01-1989,394
28-02-1989,387
31-03-1989,383.2
28-04-1989,377.6
31-05-1989,361.8
30-06-1989,373
31-07-1989,368.3
31-08-1989,359.8
29-09-1989,366.5
31-10-1989,375.3
30-11-1989,408.2
29-12-1989,398.6
31-01-1990,415.1
28-02-1990,407.7
30-03-1990,368.5
30-04-1990,367.8
31-05-1990,363.1
29-06-1990,352.2
31-07-1990,372.3
31-08-1990,387.8
28-09-1990,408.4
31-10-1990,379.5
30-11-1990,384.9
31-12-1990,386.2
31-01-1991,366
28-02-1991,362.7
29-03-1991,355.7
30-04-1991,357.8
31-05-1991,360.4
28-06-1991,368.4
31-07-1991,362.9
30-08-1991,347.4
30-09-1991,354.9
31-10-1991,357.5
29-11-1991,366.3
31-12-1991,353.2
31-01-1992,354.1
28-02-1992,353.1
31-03-1992,341.7
30-04-1992,336.4
29-05-1992,337.5
30-06-1992,343.4
31-07-1992,357.9
31-08-1992,340
30-09-1992,349
30-10-1992,339.3
30-11-1992,334.2
31-12-1992,332.9
29-01-1993,330.5
26-02-1993,327.6
31-03-1993,337.8
30-04-1993,354.3
31-05-1993,377.5
30-06-1993,378.5
30-07-1993,401.8
31-08-1993,371.6
30-09-1993,355.5
29-10-1993,369.6
30-11-1993,370.9
31-12-1993,391.8
31-01-1994,377.9
28-02-1994,381.6
31-03-1994,389.2
29-04-1994,376.5
31-05-1994,387.6
30-06-1994,388.3
29-07-1994,384
31-08-1994,385.8
30-09-1994,394.9
31-10-1994,383.9
30-11-1994,383.1
30-12-1994,383.3
31-01-1995,374.9
28-02-1995,376.4
31-03-1995,392
28-04-1995,389.8
31-05-1995,384.3
30-06-1995,387.1
31-07-1995,383.4
31-08-1995,382.4
29-09-1995,384
31-10-1995,382.7
30-11-1995,387.8
29-12-1995,387
31-01-1996,405.6
29-02-1996,400.7
29-03-1996,396.4
30-04-1996,391.3
31-05-1996,390.6
28-06-1996,382
31-07-1996,385.3
30-08-1996,386.5
30-09-1996,379
31-10-1996,379.5
29-11-1996,371.3
31-12-1996,369.3
31-01-1997,345.5
28-02-1997,358.6
31-03-1997,348.2
30-04-1997,340.2
30-05-1997,345.6
30-06-1997,334.6
31-07-1997,326.4
29-08-1997,325.4
30-09-1997,332.1
31-10-1997,311.4
28-11-1997,296.8
31-12-1997,290.2
30-01-1998,304.9
27-02-1998,297.4
31-03-1998,301
30-04-1998,310.7
29-05-1998,293.6
30-06-1998,296.3
31-07-1998,288.9
31-08-1998,273.4
30-09-1998,293.9
30-10-1998,292.3
30-11-1998,294.7
31-12-1998,287.8
29-01-1999,285.4
26-02-1999,287.1
31-03-1999,279.5
30-04-1999,286.6
31-05-1999,268.6
30-06-1999,261
30-07-1999,255.6
31-08-1999,254.8
30-09-1999,299
29-10-1999,299.1
30-11-1999,291.4
31-12-1999,290.3
31-01-2000,283.3
29-02-2000,293.7
31-03-2000,276.8
28-04-2000,275.1
31-05-2000,272.3
30-06-2000,288.2
31-07-2000,276.8
31-08-2000,277
29-09-2000,273.7
31-10-2000,264.5
30-11-2000,269.1
29-12-2000,274.5
31-01-2001,264.5
28-02-2001,266.7
30-03-2001,257.7
30-04-2001,263.2
31-05-2001,267.5
29-06-2001,270.6
31-07-2001,265.9
31-08-2001,273
28-09-2001,293.1
31-10-2001,278.8
30-11-2001,275.5
31-12-2001,276.5
31-01-2002,282.3
28-02-2002,296.9
29-03-2002,301.4
30-04-2002,308.2
31-05-2002,326.6
28-06-2002,318.5
31-07-2002,304.7
30-08-2002,312.8
30-09-2002,323.7
31-10-2002,316.9
29-11-2002,319.1
31-12-2002,347.2
31-01-2003,367.5
28-02-2003,347.5
31-03-2003,334.9
30-04-2003,336.8
30-05-2003,361.4
30-06-2003,346
31-07-2003,354.8
29-08-2003,375.6
30-09-2003,388
31-10-2003,386.3
28-11-2003,398.4
31-12-2003,416.3
30-01-2004,399.8
27-02-2004,395.9
31-03-2004,423.7
30-04-2004,388.5
31-05-2004,393.3
30-06-2004,395.8
30-07-2004,391.4
31-08-2004,407.3
30-09-2004,415.7
29-10-2004,425.6
30-11-2004,453.4
31-12-2004,435.6
31-01-2005,422.2
28-02-2005,435.5
31-03-2005,427.5
29-04-2005,435.7
31-05-2005,414.5
30-06-2005,437.1
29-07-2005,429
31-08-2005,433.3
30-09-2005,473.3
31-10-2005,470.8
30-11-2005,495.7
30-12-2005,513
31-01-2006,568.8
28-02-2006,556
31-03-2006,582
28-04-2006,644
31-05-2006,653
30-06-2006,613.5
31-07-2006,632.5
31-08-2006,623.5
29-09-2006,599.3
31-10-2006,603.8
30-11-2006,646.7
29-12-2006,632
31-01-2007,650.5
28-02-2007,664.2
30-03-2007,661.8
30-04-2007,677
31-05-2007,659.1
29-06-2007,650.5
31-07-2007,665.5
31-08-2007,672
28-09-2007,743
31-10-2007,789.5
30-11-2007,783.5
31-12-2007,833.8
31-01-2008,923.3
29-02-2008,971.5
31-03-2008,933.5
30-04-2008,871
30-05-2008,885.8
30-06-2008,930.3
31-07-2008,918
29-08-2008,833
30-09-2008,884.5
31-10-2008,730.8
28-11-2008,814.5
31-12-2008,869.8
30-01-2009,919.5
27-02-2009,952
31-03-2009,916.5
30-04-2009,883.3
29-05-2009,975.5
30-06-2009,934.5
31-07-2009,939
31-08-2009,955.5
30-09-2009,995.8
30-10-2009,1040
30-11-2009,1175.8
31-12-2009,1087.5
29-01-2010,1078.5
26-02-2010,1108.3
31-03-2010,1115.5
30-04-2010,1179.3
31-05-2010,1207.5
30-06-2010,1244
30-07-2010,1169
31-08-2010,1246
30-09-2010,1307
29-10-2010,1346.8
30-11-2010,1383.5
31-12-2010,1405.5
31-01-2011,1327
28-02-2011,1411
31-03-2011,1439
29-04-2011,1535.5
31-05-2011,1536.5
30-06-2011,1505.5
29-07-2011,1628.5
31-08-2011,1813.5
30-09-2011,1620
31-10-2011,1722
30-11-2011,1746
30-12-2011,1531
31-01-2012,1744
29-02-2012,1770
30-03-2012,1662.5
30-04-2012,1651.3
31-05-2012,1558
29-06-2012,1598.5
31-07-2012,1622
31-08-2012,1648.5
28-09-2012,1776
31-10-2012,1719
30-11-2012,1726
31-12-2012,1657.5
31-01-2013,1664.8
28-02-2013,1588.5
29-03-2013,1598.3
30-04-2013,1469
31-05-2013,1394.5
28-06-2013,1192
31-07-2013,1314.5
30-08-2013,1394.8
30-09-2013,1326.5
31-10-2013,1324
29-11-2013,1253
31-12-2013,1204.5
31-01-2014,1251
28-02-2014,1326.5
31-03-2014,1291.8
30-04-2014,1288.5
30-05-2014,1250.5
30-06-2014,1315
31-07-2014,1285.3
29-08-2014,1285.8
30-09-2014,1216.5
31-10-2014,1164.3
28-11-2014,1182.8
31-12-2014,1206
30-01-2015,1260.3
27-02-2015,1214
31-03-2015,1187
30-04-2015,1180.3
29-05-2015,1191.4
30-06-2015,1171
31-07-2015,1098.4
31-08-2015,1135
30-09-2015,1114
30-10-2015,1142.4
30-11-2015,1061.9
31-12-2015,1060
29-01-2016,1111.8
29-02-2016,1234.9
31-03-2016,1237
29-04-2016,1285.7
31-05-2016,1212.1
30-06-2016,1320.8
29-07-2016,1342
31-08-2016,1309.3
30-09-2016,1322.5
31-10-2016,1272
30-11-2016,1178.1
30-12-2016,1145.9
31-01-2017,1212.8
28-02-2017,1255.6
31-03-2017,1244.9
28-04-2017,1266.5
31-05-2017,1266.2
30-06-2017,1242.3
31-07-2017,1267.6
31-08-2017,1311.8
29-09-2017,1283.1
31-10-2017,1270.2
30-11-2017,1280.2
29-12-2017,1291
31-01-2018,1345.1
28-02-2018,1317.9
30-03-2018,1323.9
30-04-2018,1313.2
31-05-2018,1305.4
29-06-2018,1250.5
31-07-2018,1221
31-08-2018,1202.5
28-09-2018,1187.3
31-10-2018,1215
30-11-2018,1217.6
31-12-2018,1279
31-01-2019,1323.3
28-02-2019,1319.2
29-03-2019,1295.4
30-04-2019,1282.3
31-05-2019,1295.6
28-06-2019,1409
31-07-2019,1427.6
30-08-2019,1528.4
30-09-2019,1485.3
31-10-2019,1511
29-11-2019,1460.2
31-12-2019,1514.8
31-01-2020,1584.2
28-02-2020,1609.9
31-03-2020,1609
30-04-2020,1702.8
29-05-2020,1728.7
30-06-2020,1768.1
31-07-2020,1964.9
31-08-2020,1957.4
30-09-2020,1886.9
30-10-2020,1881.9
30-11-2020,1762.6
31-12-2020,1887.6
29-01-2021,1863.8
26-02-2021,1742.9
31-03-2021,1691.1
30-04-2021,1767.7
31-05-2021,1900
30-06-2021,1763.2
30-07-2021,1825.8
